date,user,is_retweet,is_quote,text,quoted_text,,,,,,,,,,,
Including hate-speech.,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:19:20,SamTheBuddha,True,False,RT @ElleArmageddon: IDK who needs to hear this, but if your platform doesn’t have a way for me to report political and/or pandemic disinfor…,,,,,,,,,,,
2021-03-16 21:19:23,Isam1717,True,False,RT @VABVOX: Stop confusing hate speech with free speech. ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
That's the tweet.,,,,,,,,,,,,,,,,
2021-03-16 21:19:25,ianrcoll,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:19:53,audible_realist,False,True,This is fucking disgusting,youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundred other previous times he was very racist, so i hold no hope they'll do the right thing in this case. youtube loves hate speech, so long as it is profitable,,,,,,,
2021-03-16 21:19:53,djclark18,True,False,"RT @StanCollymore: ""There's no institutional racism in journalism/broadcasting"," it's the best person for the job!""",,,,,,,,,,,
,,,,,,,,,,,,,,,,
Julie Burchill still at…,,,,,,,,,,,,,,,,
2021-03-16 21:20:17,gurkarangill___,True,True,RT @jordyinit: This is hate speech.,Men will get on to women for being into star signs, these niggas will PRETEND to be a manager for a whole FOOTBALL TEAM. 😭,,,,,,,,,,
2021-03-16 21:20:29,USharkbait,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:20:36,madiloman127,False,False,@DutchyDuts @The_Han_Moz @danganronpagame I am gay well kinda I haven’t came out but I dislike when they say it’s a sin because to me not Christian which is the majority of people that say that it’s forcing religion and god says don’t hate hate crimes is a form of radical hate speech and I tell them that,,,,,,,,,,,,
2021-03-16 21:20:42,plannernas,True,False,"RT @StanCollymore: ""There's no institutional racism in journalism/broadcasting"," it's the best person for the job!""",,,,,,,,,,,
,,,,,,,,,,,,,,,,
Julie Burchill still at…,,,,,,,,,,,,,,,,
2021-03-16 21:20:50,Eviljohnny,False,False,@slpng_giants @YouTube @SusanWojcicki It’s really disgusting. YouTube shouldn’t profit and allow him to profit off of hate speech.,,,,,,,,,,,,
2021-03-16 21:20:55,Sara98704630,True,False,RT @Alula_Solomon: After vandalizing and destroying clinics and hospitals in #Tigray, #Ethiopian soldiers of Amhara origin wrote the follow…,,,,,,,,,,,
2021-03-16 21:20:58,XarrisTheBard,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:21:00,HrtBrandon,False,True,"Huh? Weird just cause I say ""I hate my front door"" cause it gets stuck sometimes doesn't mean I took a axe and chopped it down?","Suppressed report says online ""hate speech"" doesn't reflect real-world crimes",,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/3lcB7HNIo3,,,,,,,,,,,,,,,,
2021-03-16 21:21:02,peachhpopp,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:21:09,chrissie483,False,False,@Conservatives you lot should be ashamed.  To vote for legislation which is turning this country into a dictatorship. Our freedom of expression is being eroded...what next, speech!. I hate what you’re doing to this country. It is a horror show of corruption and evil.,,,,,,,,,,,
2021-03-16 21:21:28,hbbtruth,True,False,RT @_freetodisagree: Dr Stuart Waiton says the hate crime proposals are a ‘school-marmish’ approach to Scottish citizens by the government.…,,,,,,,,,,,,
2021-03-16 21:21:33,biblioUPM,True,False,"RT @mitpress: Expert in #communication and mass media @Caitlinring provides a critical contribution to our Essential Knowledge Series. ""Hat…",,,,,,,,,,,,
2021-03-16 21:21:34,kalluout,False,True,Much like the CCP, modern lefties believe in silencing through lies because lying is all they have.  These people will be exposed as what they are.  We are every colour, gender, nationality and sexuality.  We are tired of this.  We are rising.  We are legion.,youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundred other previous times he was very racist, so i hold no hope they'll do the right thing in this case. youtube loves hate speech, so long as it is profitable https://t.co/vQUecXqbi4,,,,
2021-03-16 21:21:35,Catsrbest15,True,False,RT @bugdavem: Where does one even begin...,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
“Discredit conduct”?,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
The State broadcaster naming and shaming a private citizen on the 8pm new…,,,,,,,,,,,,,,,,
2021-03-16 21:21:40,Juicyyxoxo_,False,False,Instagram be reporting my stories for the dumbest shit, how is me saying “men are stupid” a hate speech 🙄 ,,,,,,,,,,,
INSTAGRAM HATES WOMEN,,,,,,,,,,,,,,,,
2021-03-16 21:21:42,BIGALSMOVIEFARM,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:21:43,PrincePraz,True,False,RT @Douglas4Moray: Today @ScotTories have announced a manifesto pledge to repeal the SNP's Hate Crime Bill.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
We will get rid of all the att…,,,,,,,,,,,,,,,,
2021-03-16 21:22:04,thetraylaparks,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
